mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.012473201751708985,0.0031308855712956236,0.002748727798461914,0.000208182319554699,0.1,0.1,"{'model__C': 0.1, 'model__gamma': 0.1}",0.7766990291262136,0.8545454545454545,0.8380952380952381,0.8703703703703703,0.9230769230769231,0.85255740304284,0.04745082500415038,16,0.8744186046511628,0.8605769230769231,0.8652482269503546,0.8463356973995272,0.8408551068883611,0.8574869117932657,0.012308004895878813
0.010035133361816407,0.00019411405268561887,0.0025115013122558594,0.00013415133594786422,0.1,0.5,"{'model__C': 0.1, 'model__gamma': 0.5}",0.82,0.8888888888888888,0.8761904761904762,0.9074074074074074,0.970873786407767,0.8926721117789078,0.04878488243201728,8,0.908235294117647,0.8947368421052632,0.8995215311004785,0.8888888888888888,0.8626506024096385,0.8908066317243832,0.015437577672340067
0.009686851501464843,0.0004770551326361324,0.002357816696166992,0.00013187772794374025,0.1,1.0,"{'model__C': 0.1, 'model__gamma': 1}",0.8316831683168316,0.8990825688073395,0.8761904761904762,0.9158878504672897,0.9514563106796117,0.8948600748923097,0.04000751465892441,5,0.909952606635071,0.8973747016706444,0.9060240963855422,0.8942307692307693,0.8729016786570744,0.8960967705158203,0.012912500522014526
0.010476303100585938,0.0004169705903946592,0.0029129981994628906,0.0011496353029164456,0.1,2.0,"{'model__C': 0.1, 'model__gamma': 2}",0.8080808080808081,0.897196261682243,0.897196261682243,0.9259259259259259,0.9411764705882353,0.893915145591891,0.04614626277298552,7,0.910377358490566,0.8995215311004785,0.9012048192771084,0.9026128266033254,0.8920863309352518,0.9011605732813459,0.005866659363531343
0.008649730682373047,0.001375528296323979,0.0021667003631591795,3.5947133819797786e-05,1.0,0.1,"{'model__C': 1, 'model__gamma': 0.1}",0.7766990291262136,0.8807339449541285,0.8461538461538461,0.8888888888888888,0.9607843137254902,0.8706520045697135,0.059975635029225365,15,0.8941176470588236,0.863961813842482,0.8771084337349397,0.8705882352941177,0.8599033816425121,0.8731359023145749,0.01201473036131959
0.007276296615600586,0.0003256321965836225,0.0021535873413085936,8.354118969609724e-05,1.0,0.5,"{'model__C': 1, 'model__gamma': 0.5}",0.8316831683168316,0.897196261682243,0.897196261682243,0.9090909090909091,0.9607843137254902,0.8991901828995434,0.04112665751755741,1,0.9073634204275535,0.8926014319809069,0.9016786570743405,0.8952380952380953,0.8857142857142857,0.8965191780870363,0.007455916072019131
0.007101202011108398,0.00031475119642149864,0.0020582199096679686,4.844590434295914e-05,1.0,1.0,"{'model__C': 1, 'model__gamma': 1}",0.82,0.897196261682243,0.8909090909090909,0.9090909090909091,0.9411764705882353,0.8916745464540957,0.03980473853985618,9,0.9168646080760094,0.9043062200956937,0.9064748201438849,0.9,0.8963855421686747,0.9048062380968526,0.0069634260987226845
0.008360671997070312,0.00037458481301282874,0.002079629898071289,6.95008110809082e-05,1.0,2.0,"{'model__C': 1, 'model__gamma': 2}",0.8333333333333334,0.8909090909090909,0.9074074074074074,0.9090909090909091,0.9306930693069307,0.8942867620095344,0.032995340419349074,6,0.9204819277108434,0.9078014184397163,0.9038461538461539,0.9052132701421801,0.8957345971563981,0.9066154734590584,0.008021393811402964
0.008136177062988281,0.0004824213304059892,0.0020407676696777345,3.2552510186714716e-05,10.0,0.1,"{'model__C': 10, 'model__gamma': 0.1}",0.82,0.8990825688073395,0.8653846153846154,0.897196261682243,0.9702970297029703,0.8903920951154337,0.04916714489234584,12,0.910377358490566,0.8883610451306413,0.8995215311004785,0.8920863309352518,0.8619854721549637,0.8904663475623803,0.016103798393678617
0.00776982307434082,0.00021489136197755927,0.001999044418334961,8.825669714842894e-05,10.0,0.5,"{'model__C': 10, 'model__gamma': 0.5}",0.8367346938775511,0.8888888888888888,0.8909090909090909,0.9090909090909091,0.9306930693069307,0.8912633304146741,0.03115016061388205,11,0.9216152019002375,0.8988235294117647,0.8947368421052632,0.9026128266033254,0.8899521531100478,0.9015481106261276,0.01088213880344542
